form	lemma	POS	morph
Ici	ici	ADVgen	DEGRE=-
commence	comencier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=n|
Chantepleure	chantel	NOMcom	|NOMB.=s||GENRE=f||CAS=n|
De	de	PRE	MORPH=empty
celui	cel	DETdem	|NOMB.=s||GENRE=m||CAS=r|
haut	haut	ADJqua	|NOMB.=s||GENRE=m||CAS=r||DEGRE=p|
Seigneur	seignor	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
en	en1	PRE	MORPH=empty
la	le	DETdef	|NOMB.=s||GENRE=f||CAS=r|
croix	croiz	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
fu	estre1	VERcjg	|MODE=ind||TEMPS=psp||PERS.=3||NOMB.=s|
mis	metre2	VERppe	|NOMB.=s||GENRE=m||CAS=n|
,	,	PONfbl	MORPH=empty
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
les	le	DETdef	|NOMB.=p||GENRE=f||CAS=r|
portes	porte1	NOMcom	|NOMB.=p||GENRE=f||CAS=r|
d’	de	PRE	MORPH=empty
enfer	enfer	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
brisa	brisier	VERcjg	|MODE=ind||TEMPS=psp||PERS.=3||NOMB.=s|
por	por2	PRE	MORPH=empty
ses	son4	DETpos	|PERS.=3||NOMB.=p||GENRE=m||CAS=r|
amis	ami	NOMcom	|NOMB.=p||GENRE=m||CAS=r|
,	,	PONfbl	MORPH=empty
Sient	sëoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=p|
cil	cel	PROdem	|NOMB.=p||GENRE=m||CAS=n|
beneoit	benëir	VERppe	|NOMB.=s||GENRE=m||CAS=r|
et	et	CONcoo	MORPH=empty
a	a3	PRE	MORPH=empty
bone	bon	ADJqua	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
fin	fin2	NOMcom	|NOMB.=s||GENRE=f||CAS=r||DEGRE=p|
pris	prendre	VERppe	|NOMB.=s||GENRE=m||CAS=r|
Qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
.	.	PONfrt	MORPH=empty
i	i2	DETndf	MORPH=empty
.	.	PONfrt	MORPH=empty
poi	poi	PROind	DEGRE=-
entendront	entendre	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=p|
des	des2	PRE.DETdef	|NOMB.=p||GENRE=m||CAS=r|
bien	bien2	NOMcom	|GENRE=m||CAS=r||DEGRE=p|
que	que2	PROrel	|NOMB.=p||GENRE=m||CAS=r|
j’	je	PROper	|PERS.=1||NOMB.=s||GENRE=m||CAS=n|
ai	avoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=1||NOMB.=s|
apris	aprendre	VERppe	|NOMB.=s||GENRE=m||CAS=r|
.	.	PONfrt	MORPH=empty
4	,	PONfbl	MORPH=empty
[	[	PONfbl	MORPH=empty
101vb	decviz	NOMcom	DEGRE=-
]	]	PONfbl	MORPH=empty
Mout	mout	ADVgen	DEGRE=-
vaut	valoir	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
mieuz	mieus	ADVgen	DEGRE=c
Pleurechante	plevarche	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
que	que4	CONsub	MORPH=empty
ne	ne1	ADVneg	MORPH=empty
fait	faire	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
Chantepleure	chantelëor	NOMcom	|NOMB.=s||GENRE=f||CAS=r|
:	:	PONfbl	MORPH=empty
Cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
qui	qui	PROrel	|NOMB.=s||GENRE=m||CAS=n|
s’	soi1	PROper	|PERS.=3||NOMB.=s||GENRE=m||CAS=r|
envoise	envoiier	VERcjg	|MODE=ind||TEMPS=pst||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
chante	chanter	VERcjg	|TEMPS=pst||PERS.=3||NOMB.=s|
et	et	CONcoo	MORPH=empty
en	en1	PRE	MORPH=empty
pechié	pechié	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
demeure	demorer	VERcjg	|PERS.=3||NOMB.=s|
Cil	cel	PROdem	|NOMB.=s||GENRE=m||CAS=n|
plourra	plorer	VERcjg	|MODE=ind||TEMPS=psp||PERS.=3||NOMB.=s|
en	en1	PRE	MORPH=empty
enfer	enfer	NOMcom	|NOMB.=s||GENRE=m||CAS=r|
,	,	PONfbl	MORPH=empty
ja	ja	ADVgen	DEGRE=-
n’	ne1	ADVneg	MORPH=empty
iert	estre1	VERcjg	|MODE=ind||TEMPS=fut||PERS.=3||NOMB.=s|
